"Species";"Kingdom";"Phylum";"Class";"Order";"Family";"System";
"Lonicera japonica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Dipsacales";"Caprifoliaceae";"Terrestrial";
"Ludwigia peruviana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Onagraceae";"Terrestrial";
"Lygodium japonicum";"Plantae";"Pteridophyta";"Filicopsida";"Polypodiales";"Lygodiaceae";"Terrestrial";
"Macaca mulatta";"Animalia";"Chordata";"Mammalia";"Primates";"Cercopithecidae";"Terrestrial";
"Macfadyena unguis-cati";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Bignoniaceae";"Terrestrial";
"Maconellicoccus hirsutus";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Pseudococcidae";"Terrestrial";
"Melaleuca quinquenervia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Myrtaceae";"Terrestrial";
"Melia azedarach";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Meliaceae";"Terrestrial";
"Melinis minutiflora";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Merremia tuberosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Convolvulaceae";"Terrestrial";
"Miconia calvescens";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Melastomataceae";"Terrestrial";
"Micropterus salmoides";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Centrarchidae";"Freshwater";
"Microstegium vimineum";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Mikania micrantha";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Mimosa pigra";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Mimosa pudica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Molothrus bonariensis";"Animalia";"Chordata";"Aves";"Passeriformes";"Icteridae";"Terrestrial";
"Monomorium destructor";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Monomorium floricola";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Monomorium pharaonis";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Mus musculus";"Animalia";"Chordata";"Mammalia";"Rodentia";"Muridae";"Terrestrial";
"Myiopsitta monachus";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Terrestrial";
"Mytilopsis sallei";"Animalia";"Mollusca";"Bivalvia";"Veneroida";"Dreissenidae";"Marine";
"Neyraudia reynaudiana";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Norops grahami";"Animalia";"Chordata";"Reptilia";"Squamata";"Polychrotidae";"Terrestrial";
"Norops sagrei";"Animalia";"Chordata";"Reptilia";"Squamata";"Polychrotidae";"Terrestrial";
"Nylanderia (=Paratrechina) pubens";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Nymphaea odorata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Nymphaeales";"Nymphaeaceae";"Terrestrial";
"Nypa fruticans";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Ocimum gratissimum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Lamiaceae";"Terrestrial";
"Oeceoclades maculata";"Plantae";"Magnoliophyta";"Liliopsida";"Orchidales";"Orchidaceae";"Terrestrial";
"Oncorhynchus mykiss";"Animalia";"Chordata";"Actinopterygii";"Salmoniformes";"Salmonidae";"Freshwater";
"Ophiostoma ulmi sensu lato";"Fungi";"Ascomycota";"Ascomycetes";"Ophiostomatales";"Ophiostomataceae";"Terrestrial";
"Opuntia cochenillifera";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Cactacea";"Terrestrial";
"Opuntia stricta";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Cactacea";"Terrestrial";
"Oreochromis";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Cichlidae";"Freshwater";
"Oreochromis aureus";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Cichlidae";"Freshwater";
"Oreochromis mossambicus";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Cichlidae";"Freshwater";
"Oreochromis niloticus";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Cichlidae";"Freshwater";
"Orthezia insignis";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Ortheziidae";"Terrestrial";
"Osteopilus septentrionalis";"Animalia";"Chordata";"Amphibia";"Anura";"Hylidae";"Freshwater_terrestrial";
"Ovis aries";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Bovidae";"Terrestrial";
"Oxalis corniculata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Geraniales";"Oxalidaceae";"Terrestrial";
"Oxalis latifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Geraniales";"Oxalidaceae";"Terrestrial";
"Oxalis pes-caprae";"Plantae";"Magnoliophyta";"Magnoliopsida";"Geraniales";"Oxalidaceae";"Terrestrial";
"Oxycaryum cubense";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Cyperaceae";"Terrestrial";
"Paratachardina pseudolobata";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Kerriidae";"Terrestrial";
"Paratrechina longicornis";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Parthenium hysterophorus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Paspalum vaginatum";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Passer domesticus";"Animalia";"Chordata";"Aves";"Passeriformes";"Passeridae";"Terrestrial";
"Passiflora edulis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Violales";"Passifloraceae";"Terrestrial";
"Passiflora foetida";"Plantae";"Magnoliophyta";"Magnoliopsida";"Violales";"Passifloraceae";"Terrestrial";
"Passiflora suberosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Violales";"Passifloraceae";"Terrestrial";
"Perna perna";"Animalia";"Mollusca";"Bivalvia";"Mytiloida";"Mytilidae";"Marine";
"Perna viridis";"Animalia";"Mollusca";"Bivalvia";"Mytiloida";"Mytilidae";"Marine";
"Phalaris arundinacea";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Pheidole megacephala";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Philornis downsi";"Animalia";"Arthropoda";"Insecta";"Diptera";"Muscidae";"Terrestrial";
"Phoenix canariensis";"Plantae";"Magnoliophyta";"Liliopsida";"Arecales";"Arecaceae";"Terrestrial";
"Phragmites australis";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Phyllorhiza punctata";"Animalia";"Cnidaria";"Scyphozoa";"Rhizostomeae";"Mastigiidae";"Marine";
"Phymatosorus scolopendria";"Plantae";"Pteridophyta";"Filicopsida";"Polypodiales";"	Polypodiaceae";"Terrestrial";
"Physalis peruviana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Solanaceae";"Terrestrial";
"Pimenta dioica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Myrtaceae";"Terrestrial";
"Pinus";"Plantae";"Coniferophyta";"Pinopsida";"Pinales";"Pinaceae";"Terrestrial";
"Pinus caribaea";"Plantae";"Coniferophyta";"Pinopsida";"Pinales";"Pinaceae";"Terrestrial";
"Piper aduncum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Piperales";"Piperaceae";"Terrestrial";
"Pistia stratiotes";"Plantae";"Magnoliophyta";"Liliopsida";"Arales";"Araceae";"Terrestrial";
"Pitangus sulphuratus";"Animalia";"Chordata";"Aves";"Passeriformes";"Tyrannidae";"Terrestrial";
"Pittosporum tenuifolium";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Pittosporaceae";"Terrestrial";
"Pittosporum undulatum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Pittosporaceae";"Terrestrial";
"Plasmodium relictum";"Protista";"Apicomplexa";"Aconoidasida";"Haemosporida";"Plasmodiidae";"Terrestrial";
"Poa annua";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Poecilia reticulata";"Animalia";"Chordata";"Actinopterygii";"Cyprinodontiformes";"Poeciliidae";"Freshwater";
"Pomacea canaliculata";"Animalia";"Mollusca";"Gastropoda";"Architaenioglossa";"Ampullariidae";"Freshwater";
"Pomacea insularum";"Animalia";"Mollusca";"Gastropoda";"Architaenioglossa";"Ampullariidae";"Freshwater";
"Porcellio scaber";"Animalia";"Arthropoda";"Malacostraca";"Isopoda";"Porcellionidae";"Terrestrial";
"Procambarus clarkii";"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Cambaridae";"Freshwater";
"Procyon lotor";"Animalia";"Chordata";"Mammalia";"Carnivora";"Procyonidae";"Terrestrial";
"Prosopis juliflora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Psidium cattleianum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Myrtaceae";"Terrestrial";
"Psidium guajava";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Myrtaceae";"Terrestrial";
"Psittacula krameri";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Terrestrial";
"Pterois volitans";"Animalia";"Chordata";"Actinopterygii";"Scorpaeniformes";"Scorpaenidae";"Marine";
"Pterygoplichthys multiradiatus";"Animalia";"Chordata";"Actinopterygii";"Siluriformes";"Loricariidae";"Freshwater";
"Pterygoplichthys pardalis";"Animalia";"Chordata";"Actinopterygii";"Siluriformes";"Loricariidae";"Freshwater";
"Pterygoplichthys spp.";"Animalia";"Chordata";"Actinopterygii";"Siluriformes";"Loricariidae";"Freshwater";
"Puccinia psidii";"Fungi";"Basidiomycota";"Teliomycetes";"Uredinales";"Pucciniaceae";"Terrestrial";
"Python bivittatus";"Animalia";"Chordata";"Reptilia";"Squamata";"Pythonidae";"Terrestrial";
"Ramphotyphlops braminus";"Animalia";"Chordata";"Reptilia";"Squamata";"	Typhlopidae";"Terrestrial";
"Raoiella indica";"Animalia";"Arthropoda";"Arachnida";"Acariformes";"Tenuipalpidae";"Terrestrial";
"Rattus norvegicus";"Animalia";"Chordata";"Mammalia";"Rodentia";"Muridae";"Terrestrial";
"Rattus rattus";"Animalia";"Chordata";"Mammalia";"Rodentia";"Muridae";"Terrestrial";
"Rhinella marina";"Animalia";"Chordata";"Amphibia";"Anura";"Bufonidae";"Freshwater_terrestrial";
"Rhizophora mangle";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rhizophorales";"Rhizophoraceae";"Terrestrial";
"Ricinus communis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Euphorbiales";"Euphorbiaceae";"Terrestrial";
"Rosa bracteata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Terrestrial";
"Rottboellia cochinchinensis";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Rubus alceifolius";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Terrestrial";
"Rubus niveus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Terrestrial";
"Rubus rosifolius";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Terrestrial";
"Rumex crispus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Polygonales";"Polygonaceae";"Terrestrial";
"Rusa unicolor";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Cervidae";"Terrestrial";
"Sacciolepis indica";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Sagittaria sagittifolia";"Plantae";"Magnoliophyta";"Liliopsida";"Alismatales";"Alismataceae";"Terrestrial";
"Salix babylonica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Malpighiales";"Salicaceae";"Terrestrial";
"Salix humboldtiana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Malpighiales";"Salicaceae";"Terrestrial";
"Salmo salar";"Animalia";"Chordata";"Actinopterygii";"Salmoniformes";"Salmonidae";"Marine";
"Salmo trutta";"Animalia";"Chordata";"Actinopterygii";"Salmoniformes";"Salmonidae";"Freshwater";
"Salvinia minima";"Plantae";"Pteridophyta";"Filicopsida";"Hydropteridales";"Salviniaceae";"Terrestrial";
"Salvinia molesta";"Plantae";"Pteridophyta";"Filicopsida";"Hydropteridales";"Salviniaceae";"Terrestrial";
"Sansevieria hyacinthoides";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Liliaceae";"Terrestrial";
"Sansevieria trifasciata";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Liliaceae";"Terrestrial";
"Sargassum fluitans";"Plantae";"Phaeophycophyta";"Phaeophyceae";"Fucales";"Sargassaceae";"Marine";
"Scaevola sericea";"Plantae";"Magnoliophyta";"Magnoliopsida";"Campanulales";"Goodeniaceae";"Terrestrial";
"Schefflera actinophylla";"Plantae";"Magnoliophyta";"Magnoliopsida";"Apiales";"Araliaceae";"Terrestrial";
"Schinus terebinthifolius";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Anacardiaceae";"Terrestrial";
"Schizoporella errata";"Animalia";"Ectoprocta";"Gymnolaemata";"Cheilostomata";"Schizoporellidae";"Marine";
"Scinax ruber";"Animalia";"Chordata";"Amphibia";"Anura";"Hylidae";"Freshwater_terrestrial";
"Scinax x-signatus";"Animalia";"Chordata";"Amphibia";"Anura";"Hylidae";"Freshwater_terrestrial";
"Scyphophorus acupunctatus";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Curculionidae";"Terrestrial";
"Sechium edule";"Plantae";"Magnoliophyta";"Magnoliopsida";"Violales";"Cucurbitaceae";"Terrestrial";
"Solanum tampicense";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Solanaceae";"Terrestrial";
"Solenopsis geminata";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Solenopsis invicta";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Sonchus asper";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Sonchus oleraceus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Sorghum halepense";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Spartina alterniflora";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Spathodea campanulata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Bignoniaceae";"Terrestrial";
"Spermacoce verticillata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rubiales";"Rubiaceae";"Terrestrial";
"Sphagneticola trilobata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Streptopelia decaocto";"Animalia";"Chordata";"Aves";"Columbiformes";"Columbidae";"Terrestrial";
"Sturnus vulgaris";"Animalia";"Chordata";"Aves";"Passeriformes";"Sturnidae";"Terrestrial";
"Styela plicata";"Animalia";"Chordata";"Ascidiacea";"Pleurogona";"Styelidae";"Marine";
"Sus scrofa";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Suidae";"Terrestrial";
"Syngonium podophyllum";"Plantae";"Magnoliophyta";"Liliopsida";"Arales";"Araceae";"Terrestrial";
"Syzygium cumini";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Myrtaceae";"Terrestrial";
"Syzygium jambos";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Myrtaceae";"Terrestrial";
"Tabebuia heterophylla";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Bignoniaceae";"Terrestrial";
"Tapinoma melanocephalum";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Taraxacum officinale";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Technomyrmex albipes";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Tecoma capensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Bignoniaceae";"Terrestrial";
"Tecoma stans";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Bignoniaceae";"Terrestrial";
"Terminalia catappa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Combretaceae";"Terrestrial";
"Thevetia peruviana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Gentianales";"Apocynaceae";"Terrestrial";
"Thunbergia grandiflora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Acanthaceae";"Terrestrial";
"Tibouchina urvilleana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Melastomataceae";"Terrestrial";
"Tilapia zillii";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Cichlidae";"Freshwater";
"Tithonia diversifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Toumeyella parvicornis";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Coccidae";"Terrestrial";
"Trachemys scripta elegans";"Animalia";"Chordata";"Reptilia";"Testudines";"Emydidae";"Freshwater_terrestrial";
"Tradescantia fluminensis";"Plantae";"Magnoliophyta";"Liliopsida";"Commelinales";"Commelinaceae";"Terrestrial";
"Tradescantia spathacea";"Plantae";"Magnoliophyta";"Liliopsida";"Commelinales";"Commelinaceae";"Terrestrial";
"Triadica sebifera";"Plantae";"Magnoliophyta";"Magnoliopsida";"Euphorbiales";"Euphorbiaceae";"Terrestrial";
"Trididemnum solidum";"Animalia";"Chordata";"Ascidiacea";"Enterogona";"Didemnidae";"Marine";
"Triphasia trifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Rutaceae";"Terrestrial";
"Tubastraea coccinea";"Animalia";"Cnidaria";"Anthozoa";"Scleractinia";"Dendrophylliidae";"Marine";
"Urochloa maxima";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Urochloa mutica";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Varroa destructor";"Animalia";"Arthropoda";"Arachnida";"Parasitiformes";"Varroidae";"Terrestrial";
"Verbena rigida";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Verbenaceae";"Terrestrial";
"Vulpia bromoides";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Wasmannia auropunctata";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Watersipora subtorquata";"Animalia";"Ectoprocta";"Gymnolaemata";"Cheilostomata";"Watersiporidae";"Marine";
"West Nile virus";"Virus";"";"";"";"Flaviviridae";"Terrestrial";
"Wisteria sinensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Xiphophorus hellerii";"Animalia";"Chordata";"Actinopterygii";"Cyprinodontiformes";"Poeciliidae";"Freshwater";
"Xylosandrus compactus";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Scolytidae";"Terrestrial";
"Zantedeschia aethiopica";"Plantae";"Magnoliophyta";"Liliopsida";"Arales";"Araceae";"Terrestrial";
"Ziziphus mauritiana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rhamnales";"Rhamnaceae";"Terrestrial";
