,Run,Library,Gene,Adapter.Order,Adapter,Primer.Tag.Number,MLID,Country,Ocean,Locality,Site,Subsite,Ecosystem,Habitat,Size,Fraction,Sample,Note,Site.Code2,rootnum,Site.Code,site_code3,site.code4,Site.Code.Size.Fraction,Ecosystem.Size.Fraction,Sample.Date,BayRegion,BayRegion1
BCS10-7-2_ML1198,BCS_10,10,COI,7,AR013,2,ML1198,Panama,Atlantic,Bocas del Toro,PJN,M2.2,Mangrove,Water,>0.45,eDNA,Primary,NA,PJN-M2.2,NA,PJN-M2.2,PJN-M,M-PJN,PJN-M2.2 >0.45 eDNA,Mangrove >0.45 eDNA,7/3/17,Inner Bay,Sheltered
BCS10-4-5_ML1202,BCS_10,10,COI,4,AR006,5,ML1202,Panama,Atlantic,Bocas del Toro,PJN,S3,Seagrass,Water,>0.45,eDNA,Primary,NA,PJN-S3,NA,PJN-S3,PJN-S,S-PJN,PJN-S3 >0.45 eDNA,Seagrass >0.45 eDNA,7/3/17,Inner Bay,Sheltered
BCS10-5-5_ML1201,BCS_10,10,COI,5,AR007,5,ML1201,Panama,Atlantic,Bocas del Toro,PJN,S2,Seagrass,Water,>0.45,eDNA,Primary,NA,PJN-S2,NA,PJN-S2,PJN-S,S-PJN,PJN-S2 >0.45 eDNA,Seagrass >0.45 eDNA,7/3/17,Inner Bay,Sheltered
BCS12-2-4_ML1200,BCS_12,12,COI,2,AR004,4,ML1200,Panama,Atlantic,Bocas del Toro,PJN,S1,Seagrass,Water,>0.45,eDNA,Primary,NA,PJN-S1,NA,PJN-S1,PJN-S,S-PJN,PJN-S1 >0.45 eDNA,Seagrass >0.45 eDNA,7/3/17,Inner Bay,Sheltered
BCS10-3-7_ML1207,BCS_10,10,COI,3,AR005,7,ML1207,Panama,Atlantic,Bocas del Toro,PJN,Sa2,Unvegetated,Water,>0.45,eDNA,Primary,NA,PJN-Sa2,NA,PJN-Sa2,PJN-Sa,Sa-PJN,PJN-Sa2 >0.45 eDNA,Unvegetated >0.45 eDNA,7/3/17,Inner Bay,Sheltered
BCS10-4-6_ML1208,BCS_10,10,COI,4,AR006,6,ML1208,Panama,Atlantic,Bocas del Toro,PJN,Sa3,Unvegetated,Water,>0.45,eDNA,Primary,NA,PJN-Sa3,NA,PJN-Sa3,PJN-Sa,Sa-PJN,PJN-Sa3 >0.45 eDNA,Unvegetated >0.45 eDNA,7/3/17,Inner Bay,Sheltered
BCS10-6-5_ML1206,BCS_10,10,COI,6,AR012,5,ML1206,Panama,Atlantic,Bocas del Toro,PJN,Sa1,Unvegetated,Water,>0.45,eDNA,Failed,NA,PJN-Sa1,NA,PJN-Sa1,PJN-Sa,Sa-PJN,PJN-Sa1 >0.45 eDNA,Unvegetated >0.45 eDNA,7/3/17,Inner Bay,Sheltered
BCS12-3-1_ML1206,BCS_12,12,COI,3,AR005,1,ML1206,Panama,Atlantic,Bocas del Toro,PJN,Sa1,Unvegetated,Water,>0.45,eDNA,Primary,NA,PJN-Sa1,NA,PJN-Sa1,PJN-Sa,Sa-PJN,PJN-Sa1 >0.45 eDNA,Unvegetated >0.45 eDNA,7/3/17,Inner Bay,Sheltered
BCS10-10-8_ML1179,BCS_10,10,COI,10,AR016,8,ML1179,Panama,Atlantic,Bocas del Toro,PPR,C2,Coral reef,Water,>0.45,eDNA,Primary,NA,PPR-C2,NA,PPR-C2,PPR-C,C-PPR,PPR-C2 >0.45 eDNA,Coral reef >0.45 eDNA,7/5/17,Outer Shore,Exposed
BCS10-11-7_ML1183,BCS_10,10,COI,11,AR018,7,ML1183,Panama,Atlantic,Bocas del Toro,PPR,C1,Coral reef,Water,>0.45,eDNA,Primary,NA,PPR-C1,NA,PPR-C1,PPR-C,C-PPR,PPR-C1 >0.45 eDNA,Coral reef >0.45 eDNA,7/5/17,Outer Shore,Exposed
BCS12-2-2_ML1189,BCS_12,12,COI,2,AR004,2,ML1189,Panama,Atlantic,Bocas del Toro,PPR,C3,Coral reef,Water,>0.45,eDNA,Primary,NA,PPR-C3,NA,PPR-C3,PPR-C,C-PPR,PPR-C3 >0.45 eDNA,Coral reef >0.45 eDNA,7/5/17,Outer Shore,Exposed
BCS10-3-2_ML1184,BCS_10,10,COI,3,AR005,2,ML1184,Panama,Atlantic,Bocas del Toro,PPR,M2,Mangrove,Water,>0.45,eDNA,Primary,NA,PPR-M2,NA,PPR-M2,PPR-M,M-PPR,PPR-M2 >0.45 eDNA,Mangrove >0.45 eDNA,7/5/17,Outer Shore,Exposed
BCS10-6-1_ML1187,BCS_10,10,COI,6,AR012,1,ML1187,Panama,Atlantic,Bocas del Toro,PPR,M3,Mangrove,Water,>0.45,eDNA,Primary,NA,PPR-M3,NA,PPR-M3,PPR-M,M-PPR,PPR-M3 >0.45 eDNA,Mangrove >0.45 eDNA,7/5/17,Outer Shore,Exposed
BCS10-8-12_ML1186,BCS_10,10,COI,8,AR014,12,ML1186,Panama,Atlantic,Bocas del Toro,PPR,M1,Mangrove,Water,>0.45,eDNA,Primary,NA,PPR-M1,NA,PPR-M1,PPR-M,M-PPR,PPR-M1 >0.45 eDNA,Mangrove >0.45 eDNA,7/5/17,Outer Shore,Exposed
BCS10-2-2_ML1161,BCS_10,10,COI,2,AR004,2,ML1161,Panama,Atlantic,Bocas del Toro,PPR,S1,Seagrass,Water,>0.45,eDNA,Primary,NA,PPR-S1,NA,PPR-S1,PPR-S,S-PPR,PPR-S1 >0.45 eDNA,Seagrass >0.45 eDNA,7/5/17,Outer Shore,Exposed
BCS10-3-9_ML1194,BCS_10,10,COI,3,AR005,9,ML1194,Panama,Atlantic,Bocas del Toro,PPR,S2,Seagrass,Water,>0.45,eDNA,Primary,NA,PPR-S2,NA,PPR-S2,PPR-S,S-PPR,PPR-S2 >0.45 eDNA,Seagrass >0.45 eDNA,7/5/17,Outer Shore,Exposed
BCS10-4-12_ML1182,BCS_10,10,COI,4,AR006,12,ML1182,Panama,Atlantic,Bocas del Toro,PPR,S3,Seagrass,Water,>0.45,eDNA,Primary,NA,PPR-S3,NA,PPR-S3,PPR-S,S-PPR,PPR-S3 >0.45 eDNA,Seagrass >0.45 eDNA,7/5/17,Outer Shore,Exposed
BCS10-2-9_ML1180,BCS_10,10,COI,2,AR004,9,ML1180,Panama,Atlantic,Bocas del Toro,PPR,Sa3,Unvegetated,Water,>0.45,eDNA,Primary,NA,PPR-Sa3,NA,PPR-Sa3,PPR-Sa,Sa-PPR,PPR-Sa3 >0.45 eDNA,Unvegetated >0.45 eDNA,7/5/17,Outer Shore,Exposed
BCS10-7-4_ML1188,BCS_10,10,COI,7,AR013,4,ML1188,Panama,Atlantic,Bocas del Toro,PPR,Sa2,Unvegetated,Water,>0.45,eDNA,Primary,NA,PPR-Sa2,NA,PPR-Sa2,PPR-Sa,Sa-PPR,PPR-Sa2 >0.45 eDNA,Unvegetated >0.45 eDNA,7/5/17,Outer Shore,Exposed
BCS12-2-1_ML1181,BCS_12,12,COI,2,AR004,1,ML1181,Panama,Atlantic,Bocas del Toro,PPR,Sa1,Unvegetated,Water,>0.45,eDNA,Primary,NA,PPR-Sa1,NA,PPR-Sa1,PPR-Sa,Sa-PPR,PPR-Sa1 >0.45 eDNA,Unvegetated >0.45 eDNA,7/5/17,Outer Shore,Exposed
BCS10-10-1_ML1386,BCS_10,10,COI,10,AR016,1,ML1386,Panama,Atlantic,Bocas del Toro,PST,C1.2,Coral reef,Water,>0.45,eDNA,Primary,NA,PST-C1.2,NA,PST-C1.2,PST-C,C-PST,PST-C1.2 >0.45 eDNA,Coral reef >0.45 eDNA,6/15/17,Outer Bay,Sheltered
BCS10-7-9_ML1387,BCS_10,10,COI,7,AR013,9,ML1387,Panama,Atlantic,Bocas del Toro,PST,C2,Coral reef,Water,>0.45,eDNA,Primary,NA,PST-C2,NA,PST-C2,PST-C,C-PST,PST-C2 >0.45 eDNA,Coral reef >0.45 eDNA,6/15/17,Outer Bay,Sheltered
BCS10-9-4_ML1325,BCS_10,10,COI,9,AR015,4,ML1325,Panama,Atlantic,Bocas del Toro,PST,C3,Coral reef,Water,>0.45,eDNA,Primary,NA,PST-C3,NA,PST-C3,PST-C,C-PST,PST-C3 >0.45 eDNA,Coral reef >0.45 eDNA,6/15/17,Outer Bay,Sheltered
BCS10-2-7_ML1174,BCS_10,10,COI,2,AR004,7,ML1174,Panama,Atlantic,Bocas del Toro,PST,D1,Dock,Water,>0.45,eDNA,Primary,NA,PST-D1,NA,PST-D1,PST-D,D-PST,PST-D1 >0.45 eDNA,Dock >0.45 eDNA,7/7/17,Outer Bay,Sheltered
BCS12-1-9_ML1129,BCS_12,12,COI,1,AR002,9,ML1129,Panama,Atlantic,Bocas del Toro,PST,D2,Dock,Water,>0.45,eDNA,Primary,NA,PST-D2,NA,PST-D2,PST-D,D-PST,PST-D2 >0.45 eDNA,Dock >0.45 eDNA,7/7/17,Outer Bay,Sheltered
BCS10-11-12_ML1322,BCS_10,10,COI,11,AR018,12,ML1322,Panama,Atlantic,Bocas del Toro,PST,M1,Mangrove,Water,>0.45,eDNA,Repeat,NA,PST-M1,NA,PST-M1,PST-M,M-PST,PST-M1 >0.45 eDNA,Mangrove >0.45 eDNA,6/15/17,Outer Bay,Sheltered
BCS10-12-12_ML1322,BCS_10,10,COI,12,AR019,12,ML1322,Panama,Atlantic,Bocas del Toro,PST,M1,Mangrove,Water,>0.45,eDNA,Repeat,NA,PST-M1,NA,PST-M1,PST-M,M-PST,PST-M1 >0.45 eDNA,Mangrove >0.45 eDNA,6/15/17,Outer Bay,Sheltered
BCS10-3-6_ML1245,BCS_10,10,COI,3,AR005,6,ML1245,Panama,Atlantic,Bocas del Toro,PST,M3,Mangrove,Water,>0.45,eDNA,Primary,NA,PST-M3,NA,PST-M3,PST-M,M-PST,PST-M3 >0.45 eDNA,Mangrove >0.45 eDNA,6/15/17,Outer Bay,Sheltered
BCS10-9-6_ML1322,BCS_10,10,COI,9,AR015,6,ML1322,Panama,Atlantic,Bocas del Toro,PST,M1,Mangrove,Water,>0.45,eDNA,Primary,NA,PST-M1,NA,PST-M1,PST-M,M-PST,PST-M1 >0.45 eDNA,Mangrove >0.45 eDNA,6/15/17,Outer Bay,Sheltered
BCS12-2-8_ML1295,BCS_12,12,COI,2,AR004,8,ML1295,Panama,Atlantic,Bocas del Toro,PST,M2,Mangrove,Water,>0.45,eDNA,Primary,NA,PST-M2,NA,PST-M2,PST-M,M-PST,PST-M2 >0.45 eDNA,Mangrove >0.45 eDNA,6/15/17,Outer Bay,Sheltered
BCS10-12-10_ML1324,BCS_10,10,COI,12,AR019,10,ML1324,Panama,Atlantic,Bocas del Toro,PST,S3,Seagrass,Water,>0.45,eDNA,Primary,NA,PST-S3,NA,PST-S3,PST-S,S-PST,PST-S3 >0.45 eDNA,Seagrass >0.45 eDNA,6/15/17,Outer Bay,Sheltered
BCS10-4-9_ML1327,BCS_10,10,COI,4,AR006,9,ML1327,Panama,Atlantic,Bocas del Toro,PST,S2,Seagrass,Water,>0.45,eDNA,Primary,NA,PST-S2,NA,PST-S2,PST-S,S-PST,PST-S2 >0.45 eDNA,Seagrass >0.45 eDNA,6/15/17,Outer Bay,Sheltered
BCS10-6-12_ML1323,BCS_10,10,COI,6,AR012,12,ML1323,Panama,Atlantic,Bocas del Toro,PST,S1,Seagrass,Water,>0.45,eDNA,Primary,NA,PST-S1,NA,PST-S1,PST-S,S-PST,PST-S1 >0.45 eDNA,Seagrass >0.45 eDNA,6/15/17,Outer Bay,Sheltered
BCS10-10-6_ML1406,BCS_10,10,COI,10,AR016,6,ML1406,Panama,Atlantic,Bocas del Toro,PST,Sa2,Unvegetated,Water,>0.45,eDNA,Primary,NA,PST-Sa2,NA,PST-Sa2,PST-Sa,Sa-PST,PST-Sa2 >0.45 eDNA,Unvegetated >0.45 eDNA,7/12/17,Outer Bay,Sheltered
BCS10-6-9_ML1235,BCS_10,10,COI,6,AR012,9,ML1235,Panama,Atlantic,Bocas del Toro,PST,Sa3,Unvegetated,Water,>0.45,eDNA,Primary,NA,PST-Sa3,NA,PST-Sa3,PST-Sa,Sa-PST,PST-Sa3 >0.45 eDNA,Unvegetated >0.45 eDNA,7/12/17,Outer Bay,Sheltered
BCS12-2-5_ML1234,BCS_12,12,COI,2,AR004,5,ML1234,Panama,Atlantic,Bocas del Toro,PST,Sa1,Unvegetated,Water,>0.45,eDNA,Primary,NA,PST-Sa1,NA,PST-Sa1,PST-Sa,Sa-PST,PST-Sa1 >0.45 eDNA,Unvegetated >0.45 eDNA,7/12/17,Outer Bay,Sheltered
BCS10-1-1_ML1170,BCS_10,10,COI,1,AR002,1,ML1170,Panama,Atlantic,Bocas del Toro,ROL,M2,Mangrove,Water,>0.45,eDNA,Primary,NA,ROL-M2,NA,ROL-M2,ROL-M,M-ROL,ROL-M2 >0.45 eDNA,Mangrove >0.45 eDNA,6/20/17,Inner Bay,Sheltered
BCS10-8-6_ML1173,BCS_10,10,COI,8,AR014,6,ML1173,Panama,Atlantic,Bocas del Toro,ROL,M3,Mangrove,Water,>0.45,eDNA,Primary,NA,ROL-M3,NA,ROL-M3,ROL-M,M-ROL,ROL-M3 >0.45 eDNA,Mangrove >0.45 eDNA,6/20/17,Inner Bay,Sheltered
BCS12-1-10_ML1168,BCS_12,12,COI,1,AR002,10,ML1168,Panama,Atlantic,Bocas del Toro,ROL,M1,Mangrove,Water,>0.45,eDNA,Primary,NA,ROL-M1,NA,ROL-M1,ROL-M,M-ROL,ROL-M1 >0.45 eDNA,Mangrove >0.45 eDNA,6/20/17,Inner Bay,Sheltered
BCS10-12-4_ML1162,BCS_10,10,COI,12,AR019,4,ML1162,Panama,Atlantic,Bocas del Toro,ROL,S2,Seagrass,Water,>0.45,eDNA,Primary,NA,ROL-S2,NA,ROL-S2,ROL-S,S-ROL,ROL-S2 >0.45 eDNA,Seagrass >0.45 eDNA,6/20/17,Inner Bay,Sheltered
BCS10-6-6_ML1172,BCS_10,10,COI,6,AR012,6,ML1172,Panama,Atlantic,Bocas del Toro,ROL,S3,Seagrass,Water,>0.45,eDNA,Primary,NA,ROL-S3,NA,ROL-S3,ROL-S,S-ROL,ROL-S3 >0.45 eDNA,Seagrass >0.45 eDNA,6/20/17,Inner Bay,Sheltered
BCS10-11-2_ML1289,BCS_10,10,COI,11,AR018,2,ML1289,Panama,Atlantic,Bocas del Toro,SCR,C2,Coral reef,Water,>0.45,eDNA,Primary,NA,SCR-C2,NA,SCR-C2,SCR-C,C-SCR,SCR-C2 >0.45 eDNA,Coral reef >0.45 eDNA,7/4/17,Outer Shore,Exposed
BCS10-5-7_ML1288,BCS_10,10,COI,5,AR007,7,ML1288,Panama,Atlantic,Bocas del Toro,SCR,C1,Coral reef,Water,>0.45,eDNA,Primary,NA,SCR-C1,NA,SCR-C1,SCR-C,C-SCR,SCR-C1 >0.45 eDNA,Coral reef >0.45 eDNA,7/4/17,Outer Shore,Exposed
BCS12-2-7_ML1290,BCS_12,12,COI,2,AR004,7,ML1290,Panama,Atlantic,Bocas del Toro,SCR,C3,Coral reef,Water,>0.45,eDNA,Primary,NA,SCR-C3,NA,SCR-C3,SCR-C,C-SCR,SCR-C3 >0.45 eDNA,Coral reef >0.45 eDNA,7/4/17,Outer Shore,Exposed
BCS10-3-3_ML1294,BCS_10,10,COI,3,AR005,3,ML1294,Panama,Atlantic,Bocas del Toro,SCR,Control,Control,Control,Control,Control,Control,NA,SCR-Control,NA,SCR-Control,SCR-Control,Control-SCR,SCR-Control Control Control,Control Control Control,7/4/17,Outer Shore,Exposed
BCS10-2-8_ML1282,BCS_10,10,COI,2,AR004,8,ML1282,Panama,Atlantic,Bocas del Toro,SCR,M1,Mangrove,Water,>0.45,eDNA,Primary,NA,SCR-M1,NA,SCR-M1,SCR-M,M-SCR,SCR-M1 >0.45 eDNA,Mangrove >0.45 eDNA,7/4/17,Outer Shore,Exposed
BCS10-6-7_ML1284,BCS_10,10,COI,6,AR012,7,ML1284,Panama,Atlantic,Bocas del Toro,SCR,M3,Mangrove,Water,>0.45,eDNA,Primary,NA,SCR-M3,NA,SCR-M3,SCR-M,M-SCR,SCR-M3 >0.45 eDNA,Mangrove >0.45 eDNA,7/4/17,Outer Shore,Exposed
BCS10-7-12_ML1283,BCS_10,10,COI,7,AR013,12,ML1283,Panama,Atlantic,Bocas del Toro,SCR,M2,Mangrove,Water,>0.45,eDNA,Primary,NA,SCR-M2,NA,SCR-M2,SCR-M,M-SCR,SCR-M2 >0.45 eDNA,Mangrove >0.45 eDNA,7/4/17,Outer Shore,Exposed
BCS10-1-3_ML1285,BCS_10,10,COI,1,AR002,3,ML1285,Panama,Atlantic,Bocas del Toro,SCR,S1,Seagrass,Water,>0.45,eDNA,Primary,NA,SCR-S1,NA,SCR-S1,SCR-S,S-SCR,SCR-S1 >0.45 eDNA,Seagrass >0.45 eDNA,7/4/17,Outer Shore,Exposed
BCS10-9-5_ML1286,BCS_10,10,COI,9,AR015,5,ML1286,Panama,Atlantic,Bocas del Toro,SCR,S2,Seagrass,Water,>0.45,eDNA,Primary,NA,SCR-S2,NA,SCR-S2,SCR-S,S-SCR,SCR-S2 >0.45 eDNA,Seagrass >0.45 eDNA,7/4/17,Outer Shore,Exposed
BCS10-9-8_ML1287,BCS_10,10,COI,9,AR015,8,ML1287,Panama,Atlantic,Bocas del Toro,SCR,S3,Seagrass,Water,>0.45,eDNA,Primary,NA,SCR-S3,NA,SCR-S3,SCR-S,S-SCR,SCR-S3 >0.45 eDNA,Seagrass >0.45 eDNA,7/4/17,Outer Shore,Exposed
BCS10-12-3_ML1292,BCS_10,10,COI,12,AR019,3,ML1292,Panama,Atlantic,Bocas del Toro,SCR,Sa2,Unvegetated,Water,>0.45,eDNA,Primary,NA,SCR-Sa2,NA,SCR-Sa2,SCR-Sa,Sa-SCR,SCR-Sa2 >0.45 eDNA,Unvegetated >0.45 eDNA,7/4/17,Outer Shore,Exposed
BCS10-6-4_ML1291,BCS_10,10,COI,6,AR012,4,ML1291,Panama,Atlantic,Bocas del Toro,SCR,Sa1,Unvegetated,Water,>0.45,eDNA,Primary,NA,SCR-Sa1,NA,SCR-Sa1,SCR-Sa,Sa-SCR,SCR-Sa1 >0.45 eDNA,Unvegetated >0.45 eDNA,7/4/17,Outer Shore,Exposed
BCS10-9-1_ML1293,BCS_10,10,COI,9,AR015,1,ML1293,Panama,Atlantic,Bocas del Toro,SCR,Sa3,Unvegetated,Water,>0.45,eDNA,Primary,NA,SCR-Sa3,NA,SCR-Sa3,SCR-Sa,Sa-SCR,SCR-Sa3 >0.45 eDNA,Unvegetated >0.45 eDNA,7/4/17,Outer Shore,Exposed
BCS10-12-2_ML1236,BCS_10,10,COI,12,AR019,2,ML1236,Panama,Atlantic,Bocas del Toro,SGL,S1,Seagrass,Water,>0.45,eDNA,Primary,NA,SGL-S1,NA,SGL-S1,SGL-S,S-SGL,SGL-S1 >0.45 eDNA,Seagrass >0.45 eDNA,7/12/17,Inner Bay,Sheltered
BCS10-6-8_ML1238,BCS_10,10,COI,6,AR012,8,ML1238,Panama,Atlantic,Bocas del Toro,SGL,S3,Seagrass,Water,>0.45,eDNA,Primary,NA,SGL-S3,NA,SGL-S3,SGL-S,S-SGL,SGL-S3 >0.45 eDNA,Seagrass >0.45 eDNA,7/12/17,Inner Bay,Sheltered
BCS10-9-9_ML1237,BCS_10,10,COI,9,AR015,9,ML1237,Panama,Atlantic,Bocas del Toro,SGL,S2,Seagrass,Water,>0.45,eDNA,Primary,NA,SGL-S2,NA,SGL-S2,SGL-S,S-SGL,SGL-S2 >0.45 eDNA,Seagrass >0.45 eDNA,7/12/17,Inner Bay,Sheltered
BCS10-4-2_ML1128,BCS_10,10,COI,4,AR006,2,ML1128,Panama,Atlantic,Bocas del Toro,SGN,D1,Dock,Water,>0.45,eDNA,Primary,NA,SGN-D1,NA,SGN-D1,SGN-D,D-SGN,SGN-D1 >0.45 eDNA,Dock >0.45 eDNA,7/7/17,Outer Bay,Sheltered
BCS10-8-5_ML1163,BCS_10,10,COI,8,AR014,5,ML1163,Panama,Atlantic,Bocas del Toro,SGN,D2,Dock,Water,>0.45,eDNA,Primary,NA,SGN-D2,NA,SGN-D2,SGN-D,D-SGN,SGN-D2 >0.45 eDNA,Dock >0.45 eDNA,7/7/17,Outer Bay,Sheltered
BCS10-4-10_ML1397,BCS_10,10,COI,4,AR006,10,ML1397,Panama,Atlantic,Bocas del Toro,SGN,M1,Mangrove,Water,>0.45,eDNA,Primary,NA,SGN-M1,NA,SGN-M1,SGN-M,M-SGN,SGN-M1 >0.45 eDNA,Mangrove >0.45 eDNA,6/16/17,Outer Bay,Sheltered
BCS10-5-6_ML1328,BCS_10,10,COI,5,AR007,6,ML1328,Panama,Atlantic,Bocas del Toro,SGN,M3,Mangrove,Water,>0.45,eDNA,Primary,NA,SGN-M3,NA,SGN-M3,SGN-M,M-SGN,SGN-M3 >0.45 eDNA,Mangrove >0.45 eDNA,6/16/17,Outer Bay,Sheltered
BCS10-7-6_ML1398,BCS_10,10,COI,7,AR013,6,ML1398,Panama,Atlantic,Bocas del Toro,SGN,M2,Mangrove,Water,>0.45,eDNA,Primary,NA,SGN-M2,NA,SGN-M2,SGN-M,M-SGN,SGN-M2 >0.45 eDNA,Mangrove >0.45 eDNA,6/16/17,Outer Bay,Sheltered
BCS10-10-2_ML1296,BCS_10,10,COI,10,AR016,2,ML1296,Panama,Atlantic,Bocas del Toro,SGN,S3,Seagrass,Water,>0.45,eDNA,Primary,NA,SGN-S3,NA,SGN-S3,SGN-S,S-SGN,SGN-S3 >0.45 eDNA,Seagrass >0.45 eDNA,6/16/17,Outer Bay,Sheltered
BCS10-4-3_ML1247,BCS_10,10,COI,4,AR006,3,ML1247,Panama,Atlantic,Bocas del Toro,SGN,S2,Seagrass,Water,>0.45,eDNA,Primary,NA,SGN-S2,NA,SGN-S2,SGN-S,S-SGN,SGN-S2 >0.45 eDNA,Seagrass >0.45 eDNA,6/16/17,Outer Bay,Sheltered
BCS12-2-9_ML1329,BCS_12,12,COI,2,AR004,9,ML1329,Panama,Atlantic,Bocas del Toro,SGN,S1,Seagrass,Water,>0.45,eDNA,Primary,NA,SGN-S1,NA,SGN-S1,SGN-S,S-SGN,SGN-S1 >0.45 eDNA,Seagrass >0.45 eDNA,6/16/17,Outer Bay,Sheltered
BCS10-10-5_ML1336,BCS_10,10,COI,10,AR016,5,ML1336,Panama,Atlantic,Bocas del Toro,SIS,M1,Mangrove,Water,>0.45,eDNA,Primary,NA,SIS-M1,NA,SIS-M1,SIS-M,M-SIS,SIS-M1 >0.45 eDNA,Mangrove >0.45 eDNA,6/19/17,Inner Bay,Sheltered
BCS10-8-4_ML1249,BCS_10,10,COI,8,AR014,4,ML1249,Panama,Atlantic,Bocas del Toro,SIS,M2,Mangrove,Water,>0.45,eDNA,Primary,NA,SIS-M2,NA,SIS-M2,SIS-M,M-SIS,SIS-M2 >0.45 eDNA,Mangrove >0.45 eDNA,6/19/17,Inner Bay,Sheltered
BCS12-2-10_ML1403,BCS_12,12,COI,2,AR004,10,ML1403,Panama,Atlantic,Bocas del Toro,SIS,M3,Mangrove,Water,>0.45,eDNA,Primary,NA,SIS-M3,NA,SIS-M3,SIS-M,M-SIS,SIS-M3 >0.45 eDNA,Mangrove >0.45 eDNA,6/19/17,Inner Bay,Sheltered
BCS10-7-10_ML1334,BCS_10,10,COI,7,AR013,10,ML1334,Panama,Atlantic,Bocas del Toro,SIS,S2,Seagrass,Water,>0.45,eDNA,Primary,NA,SIS-S2,NA,SIS-S2,SIS-S,S-SIS,SIS-S2 >0.45 eDNA,Seagrass >0.45 eDNA,6/19/17,Inner Bay,Sheltered
BCS10-7-5_ML1332,BCS_10,10,COI,7,AR013,5,ML1332,Panama,Atlantic,Bocas del Toro,SIS,S1,Seagrass,Water,>0.45,eDNA,Primary,NA,SIS-S1,NA,SIS-S1,SIS-S,S-SIS,SIS-S1 >0.45 eDNA,Seagrass >0.45 eDNA,6/19/17,Inner Bay,Sheltered
BCS10-9-10_ML1404,BCS_10,10,COI,9,AR015,10,ML1404,Panama,Atlantic,Bocas del Toro,SIS,S3,Seagrass,Water,>0.45,eDNA,Primary,NA,SIS-S3,NA,SIS-S3,SIS-S,S-SIS,SIS-S3 >0.45 eDNA,Seagrass >0.45 eDNA,6/19/17,Inner Bay,Sheltered